mes_ano	estelionato
2026m03	15563
2026m04	14950
2025m07	13870
2025m05	13356
2024m07	13032
2024m05	12930
2024m08	12854
2025m04	12655
2024m06	12611
2025m08	12597
2025m09	12596
2024m04	12555
2026m01	12466
2025m03	12412
2025m06	12396
2024m01	12155
2025m01	12143
2026m02	12068
2024m03	12005
2025m10	11909
2025m02	11836
2024m10	11701
2022m08	11560
2024m12	11531
2023m12	11464
2022m05	11243
2023m03	11161
2022m03	11079
2024m11	10998
2025m11	10942
2023m11	10935
2024m09	10926
2023m01	10876
2021m12	10847
2024m02	10820
2022m07	10526
2022m09	10450
2022m06	10420
2022m01	10271
2025m12	10269
2023m08	10247
2023m10	10160
2023m05	10117
2022m12	10021
2022m04	9905
2022m02	9742
2023m07	9483
2022m11	9403
2022m10	9221
2023m06	9186
2023m09	9133
2023m04	8938
2023m02	8518
2021m11	7379
2021m08	6412
2020m07	6058
2021m09	5956
2021m07	5691
2021m10	5557
2021m05	5532
2021m06	5514
2021m03	5306
2020m06	5210
2021m04	4861
2020m10	4593
2020m08	4592
2021m02	4185
2019m10	4182
2020m09	4086
2020m01	3950
